id,keyword,category,search_intent,suggested_title,slug,primary_link,secondary_links,status,publish_date,published_url
129,"grain spawn vs sawdust spawn",mushrooms-hydro,commercial-investigation,"Grain vs Sawdust Spawn: Which for Which Mushroom",blog/grain-vs-sawdust-spawn.html,"/calculators/mushroom-growing.html","/calculators/hydroponic-system.html;/blog/hydroponics-guide.html",pending,,
130,"one acre homestead what fits",land-planning,informational,"The One-Acre Homestead: What Realistically Fits",blog/one-acre-homestead.html,"/calculators/land-requirement.html","/calculators/garden-yield.html;/calculators/chicken-coop-size.html",pending,,
131,"chicken run size per chicken",chickens-eggs,informational,"Chicken Run Size Per Chicken: Space Requirements Guide",blog/chicken-run-size-per-chicken.html,"/calculators/chicken-coop-size.html","/calculators/chicken-feed.html",pending,,
132,"how many carrots per square foot",gardening-planning,informational,"How Many Carrots Per Square Foot? Spacing for Real Yields",blog/carrots-per-square-foot.html,"/calculators/square-foot-gardening.html","/blog/square-foot-gardening-guide.html",pending,,
133,"rotational grazing paddock size",livestock,informational,"Rotational Grazing: How to Size Your Paddocks",blog/rotational-grazing-paddock-size.html,"/calculators/land-requirement.html","/calculators/fencing-calculator.html",pending,,
134,"how many pounds of tomatoes per canner load",food-preservation,informational,"Pounds of Tomatoes Per Canner Load: Planning Guide",blog/tomatoes-per-canner-load.html,"/calculators/canning-scaler.html","/calculators/garden-yield.html",pending,,
135,"what to do with leftover whey",dairy-kitchen,informational,"16 Uses for Leftover Whey on the Homestead",blog/leftover-whey-uses.html,"/calculators/cheese-making.html","/calculators/goat-cheese-yield.html",pending,,
136,"how big is a cord of wood",energy-offgrid,informational,"How Big Is a Cord of Wood? Full, Face, and Rick Explained",blog/cord-of-wood-size.html,"/calculators/firewood-requirement.html","/calculators/firewood-requirement.html;/printables/solar-power-reference.html",pending,,
137,"worm bin setup for beginners",composting-soil,informational,"Vermicomposting: Setting Up Your First Worm Bin",blog/worm-bin-setup.html,"/calculators/compost-mix.html","/blog/compost-guide.html",pending,,
138,"how to split a beehive",beekeeping,informational,"Splitting a Hive: Step-by-Step for First-Timers",blog/splitting-a-hive.html,"/calculators/beehive-management.html","/calculators/honey-yield.html;/blog/honey-yield-guide.html",pending,,
139,"rainwater filtration for drinking",water-rain,informational,"Making Rainwater Drinkable: Filtration Steps That Count",blog/rainwater-filtration-drinking.html,"/calculators/rainwater-harvest.html","/blog/rainwater-harvesting-guide.html",pending,,
140,"espalier fruit trees in small spaces",orchard-fruit,informational,"Espalier: Growing Fruit Trees Flat Against a Wall",blog/espalier-fruit-trees.html,"/calculators/fruit-tree-yield.html","/calculators/plant-spacing.html",pending,,
141,"why does my cider taste sharp",brewing-ferment,informational,"Sharp Cider? Malolactic Fermentation and Aging Fixes",blog/sharp-cider-fix.html,"/calculators/cider-making.html","/calculators/wine-making.html;/blog/wine-making-guide.html",pending,,
142,"growing lettuce indoors under lights",mushrooms-hydro,informational,"Indoor Lettuce Under Grow Lights: Setup and Yields",blog/indoor-lettuce-grow-lights.html,"/calculators/hydroponic-system.html","/calculators/seed-starting.html",pending,,
143,"buying rural land checklist",land-planning,informational,"Buying Rural Land: A Due-Diligence Checklist",blog/buying-rural-land-checklist.html,"/calculators/land-requirement.html","/calculators/self-sufficiency-score.html",pending,,
144,"cornish cross feed schedule meat birds",chickens-eggs,informational,"Cornish Cross Feed Schedule: Week-by-Week to Processing",blog/cornish-cross-feed-schedule.html,"/calculators/chicken-feed.html","/blog/chicken-feed-guide.html",pending,,
145,"vegetable garden layout for beginners",gardening-planning,informational,"Vegetable Garden Layout for Beginners: 4 Proven Plans",blog/garden-layout-beginners.html,"/calculators/plant-spacing.html","/calculators/garden-yield.html",pending,,
146,"how many bales of hay per horse per month",livestock,informational,"How Many Hay Bales Per Horse Per Month?",blog/hay-bales-per-horse.html,"/calculators/hay-forage.html","/printables/livestock-hay-guide.html",pending,,
147,"jerky dehydrator time and temperature",food-preservation,informational,"Jerky in the Dehydrator: Safe Times and Temperatures",blog/jerky-dehydrator-time.html,"/calculators/dehydrator.html","/calculators/meat-curing.html",pending,,
148,"cultured butter vs sweet cream butter",dairy-kitchen,commercial-investigation,"Cultured vs Sweet Cream Butter: Taste and Method",blog/cultured-vs-sweet-cream-butter.html,"/calculators/butter-making.html","/calculators/butter-making.html;/calculators/bread-baking.html",pending,,
149,"heating a greenhouse without electricity",energy-offgrid,informational,"7 Ways to Heat a Greenhouse Without Electricity",blog/greenhouse-heat-no-electricity.html,"/calculators/greenhouse-heater.html","/calculators/compost-temperature.html",pending,,
150,"compost tea recipe and brewing",composting-soil,informational,"Compost Tea: A Simple Recipe and Honest Look at Benefits",blog/compost-tea-recipe.html,"/calculators/compost-mix.html","/calculators/fertilizer.html",pending,,
151,"rendering and using beeswax",beekeeping,informational,"Beeswax: Cleaning, Rendering, and 12 Homestead Uses",blog/beeswax-uses.html,"/calculators/beehive-management.html","/calculators/honey-yield.html",pending,,
152,"how much water does a vegetable garden need",water-rain,informational,"How Much Water a Vegetable Garden Needs Per Week",blog/garden-water-needs.html,"/calculators/rainwater-harvest.html","/printables/rainwater-harvest-cheat-sheet.html",pending,,
153,"fruit tree fertilizer schedule",orchard-fruit,informational,"Fruit Tree Feeding Schedule Through the Season",blog/fruit-tree-fertilizer.html,"/calculators/fertilizer.html","/blog/fertilizer-npk-guide.html",pending,,
154,"wild fermentation vs added yeast",brewing-ferment,commercial-investigation,"Wild Fermentation vs Pitched Yeast for Cider",blog/wild-vs-pitched-yeast.html,"/calculators/cider-making.html","/calculators/wine-making.html",pending,,
155,"hydroponics vs soil cost comparison",mushrooms-hydro,commercial-investigation,"Hydroponics vs Soil: True Cost Per Harvest",blog/hydroponics-vs-soil-cost.html,"/calculators/hydroponic-system.html","/calculators/garden-yield.html",pending,,
156,"starting a homestead with no money",land-planning,informational,"Starting a Homestead on a Shoestring Budget",blog/homestead-no-money.html,"/calculators/land-requirement.html","/calculators/self-sufficiency-score.html",pending,,
157,"incubation humidity for chicken eggs",chickens-eggs,informational,"Incubation Humidity for Chicken Eggs: Day-by-Day Targets",blog/incubation-humidity-chicken-eggs.html,"/calculators/hatching-countdown.html","/blog/hatching-guide.html",pending,,
158,"how much sun does a vegetable garden need",gardening-planning,informational,"How Much Sun Does a Vegetable Garden Need? By Crop",blog/vegetable-garden-sun-requirements.html,"/calculators/garden-yield.html","/calculators/plant-spacing.html",pending,,
159,"what minerals do goats need",livestock,informational,"Goat Minerals: What They Need and What to Avoid",blog/goat-mineral-requirements.html,"/calculators/goat-sheep-feed.html","/calculators/goat-sheep-feed.html",pending,,
160,"sauerkraut salt ratio fermenting",food-preservation,informational,"Sauerkraut Salt Ratio: The 2% Rule Explained",blog/sauerkraut-salt-ratio.html,"/calculators/canning-scaler.html","/calculators/vegetable-storage.html",pending,,
161,"how much flour for a loaf of bread",dairy-kitchen,informational,"How Much Flour Per Loaf of Bread? Baker Math Basics",blog/flour-per-loaf.html,"/calculators/bread-baking.html","/calculators/butter-making.html;/calculators/bread-baking.html",pending,,
162,"diy solar water heater",energy-offgrid,informational,"DIY Solar Water Heating: Simple Systems That Work",blog/diy-solar-water-heater.html,"/calculators/solar-power.html","/blog/solar-power-guide.html",pending,,
163,"how to make leaf mold",composting-soil,informational,"Leaf Mold: Free Soil Conditioner From Fall Leaves",blog/make-leaf-mold.html,"/calculators/compost-mix.html","/blog/compost-guide.html",pending,,
164,"homestead skills to learn first",land-planning,informational,"12 Homestead Skills to Learn in Your First Year",blog/first-year-homestead-skills.html,"/calculators/land-requirement.html","/calculators/self-sufficiency-score.html",pending,,
165,"why did my hens stop laying eggs",chickens-eggs,informational,"Why Did My Hens Stop Laying? 9 Causes and Fixes",blog/why-hens-stopped-laying.html,"/calculators/egg-production.html","/printables/egg-production-chart.html",pending,,
166,"when to transplant seedlings outside",gardening-planning,informational,"When to Transplant Seedlings Outside: Signs They Are Ready",blog/when-to-transplant-seedlings.html,"/calculators/seed-starting.html","/calculators/frost-date.html",pending,,
167,"goat kidding season checklist",livestock,informational,"Kidding Season Checklist: Before, During, and After",blog/goat-kidding-checklist.html,"/calculators/goat-sheep-feed.html","/calculators/goat-cheese-yield.html",pending,,
168,"canning altitude adjustments chart",food-preservation,informational,"Canning Altitude Adjustments: What Changes Above 1,000 ft",blog/canning-altitude-adjustments.html,"/calculators/canning-scaler.html","/calculators/vegetable-storage.html;/calculators/dehydrator.html",pending,,
169,"cheese aging temperature and humidity",dairy-kitchen,informational,"Cheese Aging Conditions: Building a Simple Cheese Cave",blog/cheese-aging-conditions.html,"/calculators/cheese-making.html","/calculators/vegetable-storage.html",pending,,
170,"off grid power options besides solar",energy-offgrid,informational,"Off-Grid Power Beyond Solar: Wind, Micro-Hydro, and More",blog/off-grid-power-options.html,"/calculators/solar-power.html","/blog/solar-power-guide.html",pending,,
171,"bokashi composting vs traditional",composting-soil,commercial-investigation,"Bokashi vs Traditional Composting: Which Fits Your Kitchen",blog/bokashi-vs-traditional.html,"/calculators/compost-mix.html","/calculators/compost-mix.html",pending,,
172,"usda zone changes what gardeners should know",land-planning,informational,"USDA Zone Map Updates: What a Half-Zone Shift Means",blog/usda-zone-changes.html,"/calculators/usda-zone-finder.html","/calculators/frost-date.html",pending,,
173,"fermenting chicken feed benefits",chickens-eggs,informational,"Fermenting Chicken Feed: Benefits, Method, and Savings",blog/fermenting-chicken-feed.html,"/calculators/chicken-feed.html","/blog/chicken-feed-guide.html",pending,,
174,"why are my seedlings leggy",gardening-planning,informational,"Why Are My Seedlings Leggy? Causes and How to Save Them",blog/leggy-seedlings-fix.html,"/calculators/seed-starting.html","/blog/seed-starting-guide.html",pending,,
175,"how much milk does a dairy cow produce per day",livestock,informational,"How Much Milk Does a Family Cow Produce Per Day?",blog/family-cow-milk-production.html,"/calculators/butter-making.html","/calculators/cheese-making.html",pending,,
176,"how long does winter squash keep",food-preservation,informational,"How Long Does Winter Squash Keep? Storage by Variety",blog/winter-squash-storage.html,"/calculators/vegetable-storage.html","/printables/vegetable-storage-chart.html",pending,,
177,"real buttermilk from butter making",dairy-kitchen,informational,"Real Buttermilk: The Bonus Product of Butter Making",blog/real-buttermilk-uses.html,"/calculators/butter-making.html","/calculators/bread-baking.html",pending,,
178,"how much propane does a homestead use",energy-offgrid,informational,"How Much Propane a Homestead Uses (and How to Cut It)",blog/homestead-propane-use.html,"/calculators/solar-power.html","/calculators/firewood-requirement.html",pending,,
179,"how much can free ranging reduce feed costs",chickens-eggs,commercial-investigation,"How Much Does Free-Ranging Really Cut Feed Costs?",blog/free-range-feed-savings.html,"/calculators/chicken-feed.html","/calculators/chicken-coop-size.html",pending,,
180,"how to harden off seedlings",gardening-planning,informational,"How to Harden Off Seedlings in 7 Days",blog/harden-off-seedlings.html,"/calculators/seed-starting.html","/calculators/frost-date.html",pending,,
181,"raising ducks vs chickens for eggs",livestock,commercial-investigation,"Ducks vs Chickens for Eggs: An Honest Comparison",blog/ducks-vs-chickens-eggs.html,"/calculators/egg-production.html","/calculators/chicken-feed.html",pending,,
182,"dial gauge vs weighted gauge pressure canner",food-preservation,commercial-investigation,"Dial vs Weighted Gauge Pressure Canners: Key Differences",blog/dial-vs-weighted-gauge.html,"/calculators/canning-scaler.html","/calculators/vegetable-storage.html;/calculators/dehydrator.html",pending,,
183,"milk kefir grains how to use",dairy-kitchen,informational,"Milk Kefir for Beginners: Grains, Ratios, and Timing",blog/milk-kefir-beginners.html,"/calculators/cheese-making.html","/calculators/cheese-making.html",pending,,
184,"insulating a greenhouse for winter",energy-offgrid,informational,"Insulating a Greenhouse for Winter: What Actually Helps",blog/insulate-greenhouse-winter.html,"/calculators/greenhouse-heater.html","/calculators/firewood-requirement.html;/printables/solar-power-reference.html",pending,,
185,"chicken molting how long no eggs",chickens-eggs,informational,"Chicken Molting: How Long It Lasts and When Eggs Return",blog/chicken-molting-duration.html,"/calculators/egg-production.html","/calculators/egg-production.html;/printables/chicken-feed-chart.html",pending,,
186,"determinate vs indeterminate tomatoes",gardening-planning,commercial-investigation,"Determinate vs Indeterminate Tomatoes: Which to Grow",blog/determinate-vs-indeterminate-tomatoes.html,"/calculators/garden-yield.html","/calculators/plant-spacing.html",pending,,
187,"how much pasture per sheep",livestock,informational,"How Much Pasture Per Sheep? Acreage That Works",blog/pasture-per-sheep.html,"/calculators/land-requirement.html","/calculators/hay-forage.html",pending,,
188,"how to render lard at home",food-preservation,informational,"How to Render Lard at Home (Stovetop and Slow Cooker)",blog/render-lard-at-home.html,"/calculators/meat-curing.html","/calculators/vegetable-storage.html;/calculators/dehydrator.html",pending,,
189,"winter egg production how to keep hens laying",chickens-eggs,informational,"Winter Egg Production: How to Keep Hens Laying",blog/winter-egg-production-tips.html,"/calculators/egg-production.html","/calculators/chicken-coop-heating.html",pending,,
190,"how many green bean plants per person",gardening-planning,informational,"How Many Green Bean Plants Per Person?",blog/green-bean-plants-per-person.html,"/calculators/garden-yield.html","/calculators/canning-scaler.html",pending,,
191,"how to judge hay quality",livestock,informational,"How to Judge Hay Quality Before You Buy",blog/judging-hay-quality.html,"/calculators/hay-forage.html","/printables/livestock-hay-guide.html",pending,,
192,"vacuum sealing vs mylar bags food storage",food-preservation,commercial-investigation,"Vacuum Sealing vs Mylar Bags for Long-Term Food Storage",blog/vacuum-seal-vs-mylar.html,"/calculators/vegetable-storage.html","/calculators/self-sufficiency-score.html",pending,,
193,"how many chickens per acre",chickens-eggs,informational,"How Many Chickens Per Acre? Free Range Stocking Rates",blog/chickens-per-acre.html,"/calculators/land-requirement.html","/calculators/chicken-coop-size.html",pending,,
194,"usda zone 7 planting schedule",gardening-planning,informational,"USDA Zone 7 Planting Schedule: Month by Month",blog/zone-7-planting-schedule.html,"/calculators/usda-zone-finder.html","/calculators/frost-date.html",pending,,
195,"straight run vs pullets which to buy",chickens-eggs,commercial-investigation,"Straight Run vs Pullets: Which Should You Buy?",blog/straight-run-vs-pullets.html,"/calculators/chicken-feed.html","/calculators/egg-production.html",pending,,
196,"what to plant 8 weeks before first frost",gardening-planning,informational,"What to Plant 8 Weeks Before First Frost",blog/plant-8-weeks-before-frost.html,"/calculators/frost-date.html","/blog/frost-date-guide.html",pending,,
197,"when to switch from chick starter to grower feed",chickens-eggs,informational,"Chick Starter to Grower Feed: When and How to Switch",blog/starter-to-grower-feed-switch.html,"/calculators/chicken-feed.html","/blog/chicken-feed-guide.html",pending,,
198,"overwintering vegetables in the garden",gardening-planning,informational,"Overwintering Vegetables: What Survives and How to Help",blog/overwintering-vegetables.html,"/calculators/frost-date.html","/calculators/vegetable-storage.html",pending,,
199,"deep litter method chicken coop",chickens-eggs,informational,"Deep Litter Method: Low-Work Coop Bedding That Composts",blog/deep-litter-method-coop.html,"/calculators/chicken-coop-size.html","/calculators/compost-mix.html",pending,,
200,"how many zucchini plants for a family",gardening-planning,informational,"How Many Zucchini Plants Does a Family Actually Need?",blog/zucchini-plants-per-family.html,"/calculators/garden-yield.html","/calculators/plant-spacing.html",pending,,
201,"how much space do chickens need to free range",chickens-eggs,informational,"How Much Space Do Free-Range Chickens Need?",blog/free-range-space-requirements.html,"/calculators/chicken-coop-size.html","/calculators/land-requirement.html",pending,,
202,"cover crops for garden beds in winter",gardening-planning,informational,"Winter Cover Crops for Garden Beds: What to Sow",blog/winter-cover-crops.html,"/calculators/seed-calculator.html","/calculators/compost-mix.html",pending,,
203,"what not to feed chickens kitchen scraps",chickens-eggs,informational,"Kitchen Scraps for Chickens: What Is Safe and What Is Not",blog/what-not-to-feed-chickens.html,"/calculators/chicken-feed.html","/blog/chicken-feed-guide.html",pending,,
204,"low maintenance vegetables for beginners",gardening-planning,informational,"12 Low-Maintenance Vegetables for First-Year Gardeners",blog/low-maintenance-vegetables.html,"/calculators/garden-yield.html","/calculators/seed-starting.html",pending,,
